artist,hotttnesss
Vaccines,0.722369
Two Door Cinema Club,0.721994
Lilly Wood & The Prick,0.721911
Lacrim,0.721848
The Neighbourhood,0.721843
Interpol,0.721561
Il Volo,0.721551
Jennifer Lopez,0.721351
The Amity Affliction,0.720707
Halestorm,0.720658
Farruko,0.720517
James Morrison,0.720399
Bushido,0.720342
Kaskade,0.720286
John Mayer,0.720177
Sonu Nigam,0.720141
Giorgio Moroder,0.720008
Pritam,0.719995
Antonio Orozco,0.719583
Jul,0.719489
The Police,0.719434
Silvestre Dangond,0.719366
Scooter,0.719251
Shania Twain,0.719132
Bakermat,0.719011
K.I.Z.,0.719004
Quintino,0.718929
LIGABUE,0.718567
Choc Quib Town,0.718512
John Denver,0.718471
James Taylor,0.718372
Skylar Grey,0.718145
Train,0.718021
Six60,0.717858
Tracy Chapman,0.717847
Thousand Foot Krutch,0.717822
BORGEOUS,0.717598
Alkilados,0.71743
Joe Bonamassa,0.717387
Anssi Kela,0.717344
Karpe Diem,0.717315
Asaf Avidan & the Mojos,0.717147
Toby Keith,0.717143
Sheppard,0.716989
Karmin,0.71686
G.E.M.,0.716817
Hillsong Worship,0.716739
Ella Eyre,0.716547
Sanni,0.716289
R. Kelly,0.71626
Dan + Shay,0.71622
Akcent,0.716124
SPYAIR,0.716036
Paloma Faith,0.715702
La Fouine,0.715684
City and Colour,0.715629
Radiohead,0.715587
Ella Fitzgerald,0.715542
Lawson,0.715428
Wale,0.715417
DJ Shadow,0.715333
Jamie Lawson,0.715261
JoJo,0.715148
Dawid Podsiadlo,0.715111
Juan Luis Guerra,0.715082
Kirk Franklin,0.715058
Stefanie Heinzmann,0.715007
Anouk,0.714803
Nirvana,0.714294
Gerardo Ortiz,0.714167
Thirty Seconds to Mars,0.714056
TFBOYS,0.713933
Courtney Barnett,0.713833
Robin,0.713825
Travi$ Scott,0.713733
Eazy-E,0.713634
Bloc Party,0.713507
Portishead,0.713147
Negramaro,0.71294
Peking Duk,0.712784
New Order,0.712752
Old Dominion,0.71269
Lara Fabian,0.712594
Luis Fonsi,0.712532
Dzeko & Torres,0.712469
Ludovico Einaudi,0.712451
Beach House,0.712449
Bee Gees,0.712391
Agir,0.712366
Will Sparks,0.712345
Fat Freddy's Drop,0.712075
Chris Tomlin,0.712056
London Grammar,0.711876
Neil Diamond,0.711822
Teenage Mutants,0.711797
Kleerup,0.711778
Bruno & Marrone,0.711347
Estopa,0.711315
System of a Down,0.711184
KSHMR,0.71101
The Script,0.711001
Cazzette,0.710986
Julieta Venegas,0.710951
Limp Bizkit,0.710919
Teflon Brothers,0.710911
Rick Ross,0.710874
Vampire Weekend,0.710756
Chris Isaak,0.710573
Gilli,0.71055
Remmy Valenzuela,0.71022
Fergie,0.71014
Sergey Lazarev,0.709867
Mika Singh,0.709787
Philipp Poisel,0.709702
Duck Sauce,0.709617
Dolly Parton,0.709577
Bing Crosby,0.709236
Roberto Tapia,0.709105
James Newton Howard,0.709104
Kaaris,0.709099
Zoe,0.708974
王菲,0.708802
Sting,0.708637
Rufus,0.708606
Marisa Monte,0.708512
Yo Gotti,0.708499
Il Divo,0.708462
Mabel Matiz,0.708324
Julien Doré,0.708306
Bednarek,0.708281
Moby,0.708226
Nikke Ankara,0.708224
Ray Charles,0.708198
Potato,0.708073
Phoenix,0.708026
Jeroen van der Boom,0.707836
Río Roma,0.707803
방탄소년단,0.707756
Juju,0.707711
Los Tigres del Norte,0.707602
Craig David,0.707441
Beyond,0.707388
Watermät,0.707328
Casseurs Flowters,0.707262
Eagles,0.707239
John Grant,0.707165
Sevyn Streeter,0.707142
Nothing but Thieves,0.707096
M.I.A.,0.706691
miwa,0.706608
Shaan,0.706164
Family of the Year,0.706151
Janelle Monáe,0.706127
Kryštof,0.706039
Washed Out,0.705973
Chase Rice,0.705823
Zezé Di Camargo & Luciano,0.705721
2Cellos,0.705579
Asaf Avidan,0.705482
Dvicio,0.705472
The Lumineers,0.705435
Kidz Bop Kids,0.705363
Lianne La Havas,0.705243
Baauer,0.70521
Thomas Jack,0.705112
Gin Wigmore,0.705092
Basshunter,0.705
Stone Sour,0.704742
Tony Bennett,0.704681
Pink Floyd,0.704643
Haloo Helsinki!,0.704584
Mohit Chauhan,0.704539
Jack Johnson,0.704477
Sufjan Stevens,0.704385
Julio Iglesias,0.704322
She & Him,0.704309
Lucenzo,0.704121
Usher,0.704079
Duran Duran,0.703904
N.W.A,0.703872
林俊傑,0.703734
AAA,0.703657
Sunshine,0.70363
Cold War Kids,0.703546
Fly Project,0.703477
Kelsea Ballerini,0.703398
Leftfield,0.702951
Sweet California,0.70285
MAN WITH A MISSION,0.702612
Traffic,0.702602
Cali & El Dandee,0.702581
Odesza,0.702566
Sorriso Maroto,0.702535
Eduardo Costa,0.702488
Sak Noel,0.702414
Electric Light Orchestra,0.702383
Bastille,0.702347
Dave Gahan,0.70232
Diego Torres,0.702195
J.Ax,0.702169
Chris Stapleton,0.702035
Nero,0.701953
Tez Cadey,0.701924
Tom Odell,0.701797
HammerFall,0.701657
Tech N9ne,0.701596
田馥甄,0.701586
Maddie & Tae,0.701471
Travis,0.701448
Ten Walls,0.701382
Jack U,0.701372
Rea Garvey,0.701341
The Black Eyed Peas,0.701315
李榮浩,0.701023
Annie Lennox,0.700863
Lily Allen,0.700834
Don Diablo,0.700817
Daughter,0.700804
Johnny Hallyday,0.700718
Tan Bionica,0.700612
Madeon,0.700553
Nervo,0.700478
Plain White T's,0.700319
Cassadee Pope,0.700232
